Number of Nodes,Computation Time (us),Communication Time (us),Synchronization Time (us)
1,12754717,4313961,3443
2,8311391,3810057,343
3,7282197,3693984,359
4,6137871,3479890,344
5,6023363,3487207,602
6,5565855,3464302,803
7,4683119,3375490,721
8,3442092,3248145,534
9,3815186,3146899,867
