Number of Nodes,Computation Time (us),Communication Time (us),Synchronization Time (us)
1,12631463,4172149,3804
2,8562513,3783726,392
3,7023177,3718943,395
4,5924515,3610610,446
5,5415530,3472339,417
6,4840829,3411209,665
7,3663316,4065585,599
8,2888477,3141224,787
9,2856734,3131637,792
