Number of Nodes,Computation Time (us),Communication Time (us),Synchronization Time (us)
1,12067741,4361408,2849
2,9042978,3922793,387
3,7211526,3889996,373
4,6626713,3643355,513
5,6544506,3709339,412
6,5959034,3493961,609
7,5876484,3567000,609
8,5034638,3353245,627
9,4967941,3415096,654
10,5268249,3415345,484
11,5040249,3449124,276
12,4711006,3379210,253
13,4198294,3312487,286
14,4358462,3368560,271
15,3701088,3288526,316
16,3398983,3244496,353
17,3134890,3280000,244
18,2947817,3237351,270
19,3714790,3407187,363
20,3219105,3232193,491
21,2636582,3251607,381
22,2604290,3312524,394
23,2536978,3180257,506
24,2335826,3090478,429
25,2198469,3066980,376
26,2213609,3197362,437
27,2125956,3914314,308
