Number of Nodes,Computation Time (us),Communication Time (us),Synchronization Time (us)
1,21914756,7490138,3095
2,14944766,6964276,588
3,12739055,6582320,583
4,10584815,6336484,463
5,10012138,6242802,539
6,9637271,6137545,642
7,9562200,6249552,562
8,8290010,6093108,634
9,8769226,5977100,629
10,8764436,6039398,507
11,7814729,5957370,275
12,7863823,5920531,275
13,6990311,5801346,264
14,6671540,5687868,271
15,5818062,6407153,300
16,5785268,5732711,342
17,5039729,5625115,324
18,4610138,5607603,392
