Number of Nodes,Computation Time (us),Communication Time (us),Synchronization Time (us),First Map Time (us),First Shuffle Time (us),First Reduce Time (us),Second Map Time (us),Second Shuffle Time (us),Second Reduce Time (us)
1,22269543,8459920,3837,14568585,2452030,1800104,1219810,216591,4684883
2,13690598,6850721,492,8153406,1851591,1050401,1013290,305679,3473995
3,11793660,6675095,503,5738260,1508238,846075,1233011,450013,3976821
4,10497751,6451716,485,4066267,1201453,825728,1526724,446613,4079521
5,9142770,6266458,552,3451384,1189287,824511,1349910,437079,3517522
6,8227716,5907907,663,3024673,893954,621288,1335861,417555,3246561
7,7617291,5811277,575,2751365,870041,605578,1441832,375454,2819095
8,5923736,6575019,590,2054055,1741277,418373,1330583,273097,2121318
9,4730767,5529131,710,1863895,749485,578498,1088199,279944,1200888
10,4286632,5480355,453,2140958,775591,333128,1024998,203567,788006
11,3727104,5413502,279,1863114,716578,318714,1172414,187707,373144
12,3654663,5399072,265,1868339,743621,294958,1030805,156356,460829
13,3340652,5405304,180,1597763,748463,347743,1060222,158205,335109
14,3227646,5336199,275,1509200,647197,273156,1032265,180578,413304
15,4025992,5585185,357,2305968,928992,197544,1014528,187171,508313
16,2990585,5368733,369,1573942,745085,210065,780512,170189,426440
17,3181206,5420726,242,1834564,810933,199795,733509,155263,413586
18,2973461,5268877,327,1618901,670463,191625,742703,167064,420563
19,3768640,5899249,379,2503539,1275451,160077,725686,169940,379721
20,3170602,5213299,362,1995975,655231,174476,632013,155942,368504
21,2837325,5336864,407,1751839,731123,138460,584637,183765,362800
22,2759831,5218321,467,1682914,596163,168548,533747,152978,375093
23,2386005,5140504,489,1484909,556159,177928,535305,165226,188357
24,2524336,5236878,421,1483714,649860,162292,541748,163656,337083
25,2440277,5158499,342,1370372,611682,158891,647114,167645,264246
26,2569461,5119152,454,1526573,563673,153209,667896,158221,222250
27,2454589,5231130,470,1468757,661263,167980,583954,182759,234371
28,2372606,5226357,383,1396135,615700,163021,611444,198166,202393
